page_id,visual_id,path,svg_fields,tooltip_before,tooltip_after,changed,status
a1b2c3d4e5f6071829,critical_table,NS.Report/definition/pages/a1b2c3d4e5f6071829/visuals/critical_table/visual.json,Medidas.RE TT Estado SVG | RE TT Estado SVG,true,false,True,OK
a1b2c3d4e5f6071829,fa_btn_auditar_seleccion,NS.Report/definition/pages/a1b2c3d4e5f6071829/visuals/fa_btn_auditar_seleccion/visual.json,ns_detalle_hover.svg | ns_detalle_white.svg,AUSENTE/DEFAULT,false,True,OK
a1b2c3d4e5f6071829,logo_artel,NS.Report/definition/pages/a1b2c3d4e5f6071829/visuals/logo_artel/visual.json,artel_logo.svg,AUSENTE/DEFAULT,false,True,OK
a1b2c3d4e5f6071829,nav_resumen_v34,NS.Report/definition/pages/a1b2c3d4e5f6071829/visuals/nav_resumen_v34/visual.json,ns_resumen_hover.svg | ns_resumen_white.svg,AUSENTE/DEFAULT,false,True,OK
cb613066ebaf4e749a13,tt_status,NS.Report/definition/pages/cb613066ebaf4e749a13/visuals/tt_status/visual.json,AUD Semáforo SVG | Medidas.AUD Semáforo SVG,AUSENTE/DEFAULT,false,True,OK
df1cb253a6314642a469,nav_cuellos_v34,NS.Report/definition/pages/df1cb253a6314642a469/visuals/nav_cuellos_v34/visual.json,ns_cuellos_dark.svg | ns_cuellos_hover.svg | ns_cuellos_white.svg,AUSENTE/DEFAULT,false,True,OK
df1cb253a6314642a469,nav_detalle_v34,NS.Report/definition/pages/df1cb253a6314642a469/visuals/nav_detalle_v34/visual.json,ns_detalle_dark.svg | ns_detalle_hover.svg | ns_detalle_white.svg,AUSENTE/DEFAULT,false,True,OK
df1cb253a6314642a469,nav_resumen_v34,NS.Report/definition/pages/df1cb253a6314642a469/visuals/nav_resumen_v34/visual.json,ns_resumen_dark.svg | ns_resumen_hover.svg | ns_resumen_white.svg,AUSENTE/DEFAULT,false,True,OK
df1cb253a6314642a469,nav_tracking_v34,NS.Report/definition/pages/df1cb253a6314642a469/visuals/nav_tracking_v34/visual.json,ns_tracking_dark.svg | ns_tracking_hover.svg | ns_tracking_white.svg,AUSENTE/DEFAULT,false,True,OK
ed2a2fead6d24153bee1,back_v34,NS.Report/definition/pages/ed2a2fead6d24153bee1/visuals/back_v34/visual.json,ns_back_dark.svg | ns_back_hover.svg,AUSENTE/DEFAULT,false,True,OK
ed2a2fead6d24153bee1,card_4e4fe7d672d840,NS.Report/definition/pages/ed2a2fead6d24153bee1/visuals/card_4e4fe7d672d840/visual.json,AUD Semáforo general SVG | Medidas.AUD Semáforo general SVG,false,false,False,OK
ed2a2fead6d24153bee1,nav_cuellos_v34,NS.Report/definition/pages/ed2a2fead6d24153bee1/visuals/nav_cuellos_v34/visual.json,ns_cuellos_dark.svg | ns_cuellos_hover.svg | ns_cuellos_white.svg,AUSENTE/DEFAULT,false,True,OK
ed2a2fead6d24153bee1,nav_detalle_v34,NS.Report/definition/pages/ed2a2fead6d24153bee1/visuals/nav_detalle_v34/visual.json,ns_detalle_dark.svg | ns_detalle_hover.svg | ns_detalle_white.svg,AUSENTE/DEFAULT,false,True,OK
ed2a2fead6d24153bee1,nav_resumen_v34,NS.Report/definition/pages/ed2a2fead6d24153bee1/visuals/nav_resumen_v34/visual.json,ns_resumen_dark.svg | ns_resumen_hover.svg | ns_resumen_white.svg,AUSENTE/DEFAULT,false,True,OK
ed2a2fead6d24153bee1,nav_tracking_v34,NS.Report/definition/pages/ed2a2fead6d24153bee1/visuals/nav_tracking_v34/visual.json,ns_tracking_dark.svg | ns_tracking_hover.svg | ns_tracking_white.svg,AUSENTE/DEFAULT,false,True,OK
ed2a2fead6d24153bee1,table_c57572c4abbe4d,NS.Report/definition/pages/ed2a2fead6d24153bee1/visuals/table_c57572c4abbe4d/visual.json,AUD Semáforo SVG | Medidas.AUD Semáforo SVG,false,false,False,OK
