VBELV,VBTYP_V,VBELN,VBTYP_N,ERDAT,ERZET
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786472,M,0001168394,C,31-07-2026,122823
91786469,M,0001168393,C,31-07-2026,122821
91786469,M,0001168393,C,31-07-2026,122821
91786469,M,0001168393,C,31-07-2026,122821
91786469,M,0001168393,C,31-07-2026,122821
91786469,M,0001168393,C,31-07-2026,122821
91786469,M,0001168393,C,31-07-2026,122821
91786469,M,0001168393,C,31-07-2026,122821
91786469,M,0001168393,C,31-07-2026,122821
91786469,M,0001168393,C,31-07-2026,122821
82393180,J,0001168393,C,31-07-2026,122821
82393180,J,0001168393,C,31-07-2026,122821
82393180,J,0001168393,C,31-07-2026,122821
82393180,J,0001168393,C,31-07-2026,122821
82393180,J,0001168393,C,31-07-2026,122821
82393180,J,0001168393,C,31-07-2026,122821
82393180,J,0001168393,C,31-07-2026,122821
82393180,J,0001168393,C,31-07-2026,122821
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
82393179,J,0001168392,C,31-07-2026,122818
91786484,M,0001168392,C,31-07-2026,122818
91786484,M,0001168392,C,31-07-2026,122818
91786484,M,0001168392,C,31-07-2026,122818
91786484,M,0001168392,C,31-07-2026,122818
