VBELV,VBELN,REPETICIONES
91783357,0001166769,2
82383358,0001166723,27
82383769,0001166927,4
91782088,0001166285,22
91785196,0001167890,2
82388638,0001167662,27
91786506,0001168384,28
82383343,0001166707,27
82379391,0001166278,13
91782022,0001166164,2
91782056,0001166165,26
82383653,0001166806,27
82383835,0001166945,27
91785027,0001167723,28
91785135,0001167782,28
91786526,0001168362,28
91785182,0001167875,2
82383743,0001166934,27
82389400,0001167959,25
91783613,0001167020,9
82388637,0001167541,7
82383846,0001166947,12
82379381,0001166268,27
91785347,0001167994,9
91785339,0001167977,8
91785018,0001167715,28
91786492,0001168387,28
91783375,0001166793,11
82389026,0001167799,2
91784793,0001167451,2
82393145,0001168363,14
91783451,0001166916,15
82389365,0001167931,25
82383351,0001166716,27
91782150,0001166222,8
82389074,0001167868,16
82383752,0001166910,2
82379636,0001166297,14
91782184,0001166360,2
91784865,0001167509,11
91782149,0001166221,28
91785080,0001167838,2
91783462,0001166914,6
82388158,0001167431,27
91786495,0001168331,2
91784935,0001167555,3
91783405,0001166804,24
82389378,0001167937,16
82393154,0001168371,18
91785011,0001167738,2
82388455,0001167507,27
91785346,0001167998,24
82384060,0001167009,27
82388110,0001167376,19
82389404,0001167963,26
91783448,0001166923,28
91786482,0001168335,2
82388784,0001167674,27
91785231,0001167869,2
91783361,0001166773,4
91783513,0001166973,28
82388877,0001167728,19
91785103,0001167833,2
82388648,0001167551,27
91784988,0001167693,2
91785226,0001167921,2
91784999,0001167700,28
91786469,0001168393,9
91783612,0001167019,28
91784867,0001167507,28
91785213,0001167908,2
82388958,0001167783,27
91784736,0001167403,21
82384061,0001167010,8
82388123,0001167402,27
82388914,0001167764,9
82388464,0001167516,4
91785075,0001167809,2
82388819,0001167703,20
82388163,0001167437,27
82379402,0001166289,24
91785059,0001167757,15
91783618,0001167016,15
91783283,0001166693,25
91785295,0001167943,2
82383756,0001166914,5
82379638,0001166300,13
82393120,0001168340,2
91785109,0001167798,28
91784795,0001167467,2
91786452,0001168383,11
91784875,0001167500,3
82389409,0001167968,27
91785351,0001168003,15
82383712,0001166831,7
91785062,0001167764,10
82379346,0001166243,27
91784804,0001167415,28
91784861,0001167513,12
91783421,0001166821,14
82389406,0001167965,27
91785001,0001167702,28
91784906,0001167527,2
82389385,0001167944,23
91783274,0001166692,5
91783453,0001166918,11
91784939,0001167549,28
82389555,0001167994,8
91785321,0001167980,2
91786498,0001168338,3
82383354,0001166719,27
91785189,0001167882,2
82389556,0001167977,7
91785355,0001168007,9
91783599,0001167002,28
91782104,0001166250,2
82388154,0001167427,20
82388772,0001167665,27
82379278,0001166182,27
91785279,0001167969,2
82393169,0001168385,22
91785061,0001167763,13
91783521,0001166989,21
91782051,0001166209,28
82379279,0001166183,27
82379386,0001166273,3
82379349,0001166246,26
82384063,0001167012,27
82379274,0001166177,27
82389553,0001167992,10
91785174,0001167868,17
91782028,0001166180,2
82388458,0001167510,18
82379343,0001166240,27
91784974,0001167674,28
91785166,0001167860,2
91784727,0001167408,28
82383944,0001166976,13
91784823,0001167445,2
91782157,0001166298,28
91784740,0001167389,12
91785176,0001167660,18
82379643,0001166331,27
91783302,0001166713,28
91783374,0001166799,5
91784868,0001167506,28
82388167,0001167441,27
91783549,0001166978,28
91785146,0001167841,2
91785192,0001167885,2
82388219,0001167468,2
91783300,0001166732,4
82388940,0001167767,4
82379251,0001166154,9
91783551,0001166990,21
91785179,0001167872,2
91784987,0001167705,20
91785089,0001167819,2
82388660,0001167563,10
91785125,0001167796,2
82383347,0001166712,4
82383638,0001166795,26
91782167,0001166334,2
91783399,0001166800,28
82383710,0001166833,18
82379600,0001166326,4
91782030,0001166182,28
91784787,0001167431,28
91786468,0001168364,2
82389070,0001167864,27
82379404,0001166291,11
91782160,0001166309,22
82379635,0001166299,27
82389029,0001167802,8
91782017,0001166196,2
91782058,0001166161,2
91784884,0001167522,28
91784967,0001167664,17
91785169,0001167863,28
91785292,0001167955,28
91784739,0001167388,28
91786486,0001168369,5
82388653,0001167556,10
91782141,0001166286,7
82389382,0001167941,27
91783426,0001166832,4
82389564,0001168002,4
91785131,0001167808,2
91785225,0001167920,2
82379338,0001166234,27
82388873,0001167724,27
91785261,0001167929,28
91786479,0001168321,4
82384066,0001167014,12
91782101,0001166277,28
82383745,0001166936,15
91785076,0001167836,2
91783364,0001166777,6
91783520,0001166880,6
82379277,0001166181,27
91785138,0001167769,24
82383348,0001166713,27
82379333,0001166229,15
82388460,0001167512,11
82389381,0001167940,17
82383760,0001166918,10
82379267,0001166170,17
91783428,0001166834,18
91785016,0001167713,28
91782199,0001166379,5
91785081,0001167839,2
91784951,0001167563,11
91785338,0001168000,2
91782128,0001166243,28
91784723,0001167413,6
82383713,0001166832,3
91783425,0001166831,8
82389389,0001167948,22
82379388,0001166275,27
91784743,0001167405,9
91784890,0001167525,2
82388646,0001167549,27
91784806,0001167417,28
82388534,0001167532,27
91782156,0001166297,15
91784722,0001167391,8
91784826,0001167450,2
91783318,0001166735,12
82393152,0001168369,4
82383355,0001166720,27
82379597,0001166324,2
91784914,0001167532,28
91784941,0001167551,28
82393141,0001168359,5
82383862,0001166967,16
91782099,0001166255,28
82383665,0001166818,27
82388173,0001167447,2
82389395,0001167954,6
91785265,0001167932,28
82383361,0001166726,24
91783402,0001166805,27
82383651,0001166804,23
82389552,0001167991,22
91784779,0001167437,28
82388128,0001167407,27
91783447,0001166910,3
91786519,0001168380,8
91783301,0001166712,5
91783493,0001166942,28
91783407,0001166812,28
91783616,0001167014,13
91785335,0001167991,23
91786459,0001168371,19
82384059,0001167008,3
91785069,0001167766,7
91785158,0001167854,2
82388815,0001167699,6
91784992,0001167690,5
82388876,0001167727,27
91784932,0001167545,2
91784866,0001167508,2
91783454,0001166921,9
82379262,0001166165,25
91783494,0001166943,24
82389373,0001167971,16
91785162,0001167858,2
91783471,0001166936,15
82379273,0001166176,25
91785188,0001167881,2
91782097,0001166253,2
82388937,0001167765,10
91782120,0001166288,2
91785003,0001167695,12
91784888,0001167524,17
82379403,0001166290,2
82383948,0001166990,20
91782147,0001166291,12
82388144,0001167417,27
91785093,0001167823,2
91785289,0001167968,28
91785290,0001167940,18
91783595,0001166998,28
91785114,0001167780,2
82389563,0001168001,13
91785191,0001167884,2
82388174,0001167448,28
91782109,0001166265,15
82383344,0001166708,27
82388575,0001167539,3
82379641,0001166329,23
82383394,0001166772,10
82383389,0001166767,2
82388900,0001167752,27
82383365,0001166695,27
91782052,0001166211,28
91782139,0001166229,16
82383650,0001166803,6
91782170,0001166328,28
91782161,0001166310,15
82393135,0001168353,5
82379637,0001166298,27
91786504,0001168345,2
91782116,0001166234,28
91786472,0001168394,28
91786491,0001168386,3
91786460,0001168342,2
91783619,0001167021,2
91783499,0001166962,2
82388573,0001167537,27
82379655,0001166339,9
91785207,0001167902,2
82393181,0001168394,27
82389412,0001167974,3
91784936,0001167557,12
91782053,0001166212,28
91786515,0001168339,2
82388165,0001167439,3
91783415,0001166820,2
82388793,0001167683,19
82389062,0001167851,7
82379281,0001166185,8
82388794,0001167684,20
91785304,0001167966,2
91784927,0001167542,2
91782177,0001166331,28
82389018,0001167651,23
91784966,0001167683,20
82388142,0001167415,27
91785000,0001167701,28
91785045,0001167744,28
91782117,0001166235,2
91782129,0001166244,28
91783473,0001166934,28
91785106,0001167784,28
91785147,0001167842,2
82393171,0001168387,27
82383387,0001166780,3
91782093,0001166232,14
91782124,0001166216,7
82383844,0001166959,3
91785330,0001167989,2
91782126,0001166241,28
91784721,0001167393,3
91784733,0001167400,28
82389075,0001167659,9
91786466,0001168360,28
82388962,0001167786,13
91785331,0001167974,4
91785287,0001167946,22
82388887,0001167739,27
82388906,0001167757,14
91783472,0001166995,7
91782146,0001166259,2
91783489,0001166955,28
82383848,0001166949,27
82383772,0001166930,2
82393162,0001168378,4
82379351,0001166248,27
82393150,0001168367,27
91782047,0001166215,7
91785310,0001167935,16
91785060,0001167762,12
91783356,0001166771,4
91783378,0001166796,2
91785294,0001167972,18
91783529,0001166982,20
82379290,0001166188,27
82388941,0001167768,22
91785184,0001167877,2
91786456,0001168330,2
91782175,0001166326,5
82384067,0001167015,27
91786509,0001168344,2
91783429,0001166835,11
91782033,0001166185,9
91782127,0001166242,28
91784718,0001167397,10
82393159,0001168375,27
91785098,0001167828,2
91784803,0001167434,2
91783299,0001166724,18
82388808,0001167692,11
82383766,0001166924,3
82383841,0001166956,19
91785178,0001167871,2
91782181,0001166345,7
91786487,0001168370,28
91782142,0001166266,28
82379342,0001166239,8
91786481,0001168374,23
91783366,0001166775,8
91782100,0001166256,14
91783490,0001166956,20
91785364,0001168044,9
91782186,0001166374,9
91785316,0001167942,3
91782065,0001166153,2
82379354,0001166251,27
82388777,0001167624,19
91784728,0001167409,28
82389556,0001167976,13
82383359,0001166724,17
82389073,0001167867,27
91782020,0001166199,11
82389387,0001167946,21
91782123,0001166262,17
91785072,0001167648,4
82384062,0001167011,3
91785116,0001167801,2
82388866,0001167717,13
91784948,0001167560,11
91785322,0001167981,2
82388462,0001167514,2
91785057,0001167760,28
82388643,0001167546,16
82379368,0001166265,14
82393179,0001168392,23
82389375,0001167973,7
91785124,0001167795,2
91785328,0001167987,2
91782143,0001166267,27
91782082,0001166290,3
91783478,0001166945,28
82389559,0001167998,24
91785221,0001167916,2
91782061,0001166170,18
91782072,0001166166,28
91785323,0001167982,2
82383829,0001166854,27
91784885,0001167523,2
82379263,0001166166,27
82393149,0001168366,11
91784794,0001167452,13
91784933,0001167546,17
82393163,0001168379,22
82379654,0001166338,27
91782154,0001166239,9
82383858,0001166963,12
91783515,0001166863,3
91783371,0001166772,11
82388115,0001167394,27
82388964,0001167789,11
91785218,0001167913,2
91784819,0001167458,28
91782113,0001166280,23
91783600,0001167003,4
82388117,0001167396,27
91785032,0001167728,20
91785211,0001167906,2
