PEDIDO,EXISTE_EN_TRACKING,EXISTE_EN_TABLA_LINEAS,FILAS_TABLA_LINEAS,LINEAS,UNIDADES,DUPLICADO,RESULTADO,OBSERVACION
1167210,SI,NO,0,,,NO,SIN_COBERTURA,
1167209,SI,NO,0,,,NO,SIN_COBERTURA,
1167211,SI,NO,0,,,NO,SIN_COBERTURA,
1167208,SI,NO,0,,,NO,SIN_COBERTURA,
1167207,SI,NO,0,,,NO,SIN_COBERTURA,
1167202,SI,SI,1,1,1,NO,OK,
1167195,SI,NO,0,,,NO,SIN_COBERTURA,
1167194,SI,SI,1,10,154,NO,OK,
1167192,SI,SI,1,1,264,NO,OK,
1167190,SI,SI,1,7,140,NO,OK,
1167189,SI,SI,1,17,496,NO,OK,
1167187,SI,NO,0,,,NO,SIN_COBERTURA,
1167178,SI,NO,0,,,NO,SIN_COBERTURA,
1167175,SI,NO,0,,,NO,SIN_COBERTURA,
1167174,SI,SI,1,5,276,NO,OK,
1167173,SI,SI,1,4,240,NO,OK,
1167172,SI,NO,0,,,NO,SIN_COBERTURA,
1167167,SI,NO,0,,,NO,SIN_COBERTURA,
1167163,SI,SI,1,15,168,NO,OK,
1167157,SI,NO,0,,,NO,SIN_COBERTURA,
1167152,SI,SI,1,1,3,NO,OK,
1167153,SI,SI,1,4,64,NO,OK,
1167149,SI,SI,1,28,1091,NO,OK,
1167146,SI,SI,1,1,40,NO,OK,
1167145,SI,NO,0,,,NO,SIN_COBERTURA,
1167143,SI,NO,0,,,NO,SIN_COBERTURA,
1167139,SI,SI,1,12,140,NO,OK,
1167122,SI,SI,1,1,300,NO,OK,
1167118,SI,SI,1,6,100,NO,OK,
1167114,SI,NO,0,,,NO,SIN_COBERTURA,
4190139632,SI,SI,1,15,614,NO,OK,
4190139629,SI,SI,1,5,300,NO,OK,
4190139627,SI,SI,1,18,594,NO,OK,
1167109,SI,SI,1,10,804,NO,OK,
4190139624,SI,SI,1,39,704,NO,OK,
1167105,SI,SI,1,8,246,NO,OK,
1167113,SI,NO,0,,,NO,SIN_COBERTURA,
4190139614,SI,NO,0,,,NO,SIN_COBERTURA,
1167097,SI,SI,1,4,63,NO,OK,
1167098,SI,NO,0,,,NO,SIN_COBERTURA,
1167091,SI,SI,1,144,904,NO,OK,
1167100,SI,NO,0,,,NO,SIN_COBERTURA,
1167076,SI,SI,1,1,32,NO,OK,
1167075,SI,SI,1,33,614,NO,OK,
1167072,SI,SI,1,7,620,NO,OK,
1167070,SI,SI,1,26,579,NO,OK,
1167065,SI,SI,1,9,154,NO,OK,
1167060,SI,SI,1,1,500,NO,OK,
1167057,SI,SI,1,1,504,NO,OK,
1167053,SI,SI,1,515,68983,NO,OK,
1167050,SI,SI,1,2,24,NO,OK,
1167045,SI,SI,1,2,60,NO,OK,
1167038,SI,SI,1,37,744,NO,OK,
1167037,SI,SI,1,17,329,NO,OK,
1167036,SI,NO,0,,,NO,SIN_COBERTURA,
1167032,SI,SI,1,9,186,NO,OK,
4190139560,SI,SI,1,1,384,NO,OK,
1167026,SI,SI,1,10,62,NO,OK,
1167025,SI,SI,1,16,188,NO,OK,
1167023,SI,NO,0,,,NO,SIN_COBERTURA,
4190139489,SI,NO,0,,,NO,SIN_COBERTURA,
1166679,SI,NO,0,,,NO,SIN_COBERTURA,
1166676,SI,SI,1,3,26,NO,OK,
1166674,SI,NO,0,,,NO,SIN_COBERTURA,
4190139469,SI,SI,1,12,340,NO,OK,
1166661,SI,SI,1,87,1240,NO,OK,
1166657,SI,NO,0,,,NO,SIN_COBERTURA,
1166648,SI,SI,1,4,936,NO,OK,
1166644,SI,SI,1,35,5290,NO,OK,
1166643,SI,SI,1,1,3,NO,OK,
1166642,SI,SI,1,5,120,NO,OK,
1166646,SI,SI,1,10,2972,NO,OK,
1166630,SI,NO,0,,,NO,SIN_COBERTURA,
4190139410,SI,SI,1,16,743,NO,OK,
1166619,SI,SI,1,7,70,NO,OK,
1166616,SI,SI,1,6,549,NO,OK,
4190139405,SI,SI,1,9,2040,NO,OK,
1166604,SI,SI,1,1,200,NO,OK,
1166601,SI,SI,1,17,194,NO,OK,
1166606,SI,SI,1,32,1488,NO,OK,
4190139399,SI,NO,0,,,NO,SIN_COBERTURA,
1166590,SI,SI,1,11,284,NO,OK,
1166588,SI,SI,1,9,888,NO,OK,
1166586,SI,SI,1,8,1044,NO,OK,
4190139358,SI,NO,0,,,NO,SIN_COBERTURA,
1166577,SI,SI,1,15,424,NO,OK,
1166572,SI,SI,1,6,362,NO,OK,
4190139355,SI,NO,0,,,NO,SIN_COBERTURA,
1166546,SI,SI,1,4,188,NO,OK,
4190139341,SI,SI,1,21,132,NO,OK,
1166534,SI,SI,1,1,240,NO,OK,
1166525,SI,SI,1,2,60,NO,OK,
