PAGINA,ID_VISUAL,NOMBRE_VISUAL,TIPO_VISUAL,TITULO,SUBTITULO,TABLAS_USADAS,COLUMNAS_USADAS,MEDIDAS_USADAS,FILTROS_VISUAL,FILTROS_PAGINA,FILTROS_REPORTE,ORDENAMIENTO,DRILLTHROUGH,TOOLTIP,VISIBLE,X,Y,ANCHO,ALTO,SUPERPOSICION,RESPONDE_PREGUNTA_NEGOCIO,OBSERVACION
01 Análisis Fuera SLA,critical_table,critical_table,tableEx,PEDIDOS CRÍTICOS DE LA SELECCIÓN · CLIC DERECHO O BOTÓN → AUDITORÍA INDIVIDUAL,,Fact_Tracking;Medidas,CLASIFICACION;PED_NUMERO_PEDIDO,RE TT Cierre;RE TT Cliente;RE TT Creación;RE TT Días Top 10;RE TT Estado SVG;RE TT Exceso crítico DH;RE TT Factura;RE TT Hito crítico;RE TT Motivo operativo;RE TT Vendedor,C:PED_NUMERO_PEDIDO;M:RE TT Cliente;M:RE TT Vendedor;C:CLASIFICACION;M:RE TT Días Top 10;M:RE TT Hito crítico;M:RE TT Exceso crítico DH;M:RE TT Motivo operativo;M:RE TT Estado SVG;M:RE TT Cierre;M:RE TT Creación;M:RE TT Factura,,,,,'22a1b2c3d4e5f6071829',SI,240.00000000000003,560,1344,240.00000000000003,,,
01 Análisis Fuera SLA,fa_btn_auditar_seleccion,fa_btn_auditar_seleccion,actionButton,,,,,,,,,,,,SI,1392,528,196,28,,,
01 Análisis Fuera SLA,fa_clientes_recurrentes,fa_clientes_recurrentes,tableEx,1. CLIENTES REINCIDENTES FUERA SLA · 2+ DE LOS ÚLTIMOS 3 MESES,,Dim_Cliente;Fact_Tracking;Medidas,CLASIFICACION;CLIENTE_NOMBRE;VENDEDOR_NOMBRE,FA % Fuera SLA Cliente Visible;FA DH Fuera SLA Cliente Visible;FA Meses Fuera SLA Cliente Visible;FA Pedidos Fuera SLA Cliente Visible;FA Recurrencia Cliente Visible,C:CLIENTE_NOMBRE;C:VENDEDOR_NOMBRE;C:CLASIFICACION;M:FA Meses Fuera SLA Cliente Visible;M:FA Recurrencia Cliente Visible;M:FA Pedidos Fuera SLA Cliente Visible;M:FA % Fuera SLA Cliente Visible;M:FA DH Fuera SLA Cliente Visible,,,,,'22a1b2c3d4e5f6071829',SI,240,112,656,208,,,
01 Análisis Fuera SLA,fa_detail_header,fa_detail_header,textbox,,,,,,,,,,,,SI,240,528,1125,30,,,
01 Análisis Fuera SLA,fa_fes_carga_tiempo,fa_fes_carga_tiempo,tableEx,4. FES VS CARGA · COHORTE CERRADA POR MOMENTO DEL MES,,Dim_Fecha;Medidas,AnioMes;Momento_Mes,FA Carga % FES;FA Carga % del Mes;FA Carga Líneas x Pedido;FA Carga Pedidos Creados;FA Carga Pedidos FES;FA Carga Unidades x Pedido;FA DH Promedio;FA Delta NS vs Resto;FA Lectura Carga SLA;FA NS %,,,,,,'22a1b2c3d4e5f6071829',SI,864,336,720,184,,,
01 Análisis Fuera SLA,fa_permanencia_cd,fa_permanencia_cd,tableEx,2. FACTURA → CIERRE OFICIAL >15 DH · COHORTE CERRADA · FES=MANIFIESTO,,Dim_Cliente;Fact_Tracking;Medidas,CLASIFICACION;CLIENTE_NOMBRE,FA Días Factura Salida Promedio;FA P90 Días Factura Salida;FA Pedidos Facturados >15d;FA Pedidos Facturados >20d;FA Valor Retenido >15d,C:CLIENTE_NOMBRE;C:CLASIFICACION;M:FA Días Factura Salida Promedio;M:FA P90 Días Factura Salida;M:FA Pedidos Facturados >15d;M:FA Pedidos Facturados >20d;M:FA Valor Retenido >15d,,,,,'22a1b2c3d4e5f6071829',SI,912,112,672,208,,,
01 Análisis Fuera SLA,fa_question_header,fa_question_header,textbox,,,,,,,,,,,,SI,240,80,1349,24,,,
01 Análisis Fuera SLA,fa_vendedores_reincidentes,fa_vendedores_reincidentes,tableEx,3. VENDEDORES · IMPACTO DE CLIENTES REINCIDENTES SEGÚN FLUJO,,Dim_Cliente;Fact_Tracking;Medidas,CLASIFICACION;VENDEDOR_NOMBRE,FA % Fuera SLA Vendedor Recurrente;FA Clientes Recurrentes 2M+ Visible;FA Clientes Recurrentes 3M Visible;FA DH Fuera SLA Vendedor Recurrente;FA Líneas Fuera SLA Vendedor Recurrente;FA Pedidos Fuera SLA Vendedor Recurrente,,,,,,'22a1b2c3d4e5f6071829',SI,240,336,608,184,,,
01 Análisis Fuera SLA,filter_note_3m,filter_note_3m,textbox,,,,,,,,,,,,SI,32,352,176,32,,,
01 Análisis Fuera SLA,filter_panel,filter_panel,shape,,,,,,,,,,,,SI,16,80,208,320,,,
01 Análisis Fuera SLA,filter_title,filter_title,textbox,,,,,,,,,,,,SI,30,87,176,28,,,
01 Análisis Fuera SLA,header_panel,header_panel,shape,,,,,,,,,,,,SI,18,12,1564,62,,,
01 Análisis Fuera SLA,logo_artel,logo_artel,image,,,,,,,,,,,,SI,34,20,160,48,,,
01 Análisis Fuera SLA,nav_resumen_v34,nav_resumen_v34,actionButton,,,,,,,,,,,,SI,480,20,160,42,,,
01 Análisis Fuera SLA,slicer_clasif,slicer_clasif,slicer,,,Dim_Pedido,CLASIFICACION,,,,,,,,SI,32,184,176,56,,,
01 Análisis Fuera SLA,slicer_flujo,slicer_flujo,slicer,,,Dim_Vista_Ejecutiva,Flujo,,,,,,,,SI,32,120,176,56,,,
01 Análisis Fuera SLA,slicer_zona,slicer_zona,slicer,,,Dim_Rango_Entrega,Zona,,C:Zona,,,,,,SI,32,248,176,56,,,
01 Análisis Fuera SLA,title_ns,title_ns,textbox,,,,,,,,,,,,SI,208,16,264,48,,,
01 Análisis Fuera SLA,update_label,update_label,textbox,,,,,,,,,,,,SI,1360,25,170,18,,,
01 Análisis Fuera SLA,update_value,update_value,cardVisual,,,,,,,,,,,,SI,1232,16,336,47.99999999999999,,,
01.1 Auditoría por Pedido,back_v34,back_v34,actionButton,,,,,,,,,,,,SI,770,10,104,42,,,
01.1 Auditoría por Pedido,bg_b86eed9c0f944c,bg_b86eed9c0f944c,shape,,,,,,,,,,,,SI,0,0,1600,900,,,
01.1 Auditoría por Pedido,card_2f12187a01fd4f,card_2f12187a01fd4f,tableEx,Cliente,,Medidas,,AUD Cliente seleccionado,,,,,,,SI,1120,191.99999999999997,464,95.99999999999999,,,
01.1 Auditoría por Pedido,card_4e4fe7d672d840,card_4e4fe7d672d840,tableEx,Estado general,,Medidas,,AUD Semáforo general SVG,,,,,,,SI,545,82,250,96,,,
01.1 Auditoría por Pedido,card_7456a230aecc4b,card_7456a230aecc4b,tableEx,Vendedor responsable,,Medidas,,AUD Vendedor seleccionado,,,,,,,SI,1120,288,464,95.99999999999999,,,
01.1 Auditoría por Pedido,card_a4c6bb42ec7e4b,card_a4c6bb42ec7e4b,tableEx,Promesa y preparación,,Medidas,,AUD Promesa del pedido,,,,,,,SI,1120,383.99999999999994,464,110,,,
01.1 Auditoría por Pedido,card_b4b787e0adcf44,card_b4b787e0adcf44,tableEx,Máximo exceso (DH),,Medidas,,AUD Máximo exceso DH,,,,,,,SI,1155,82,200,96,,,
01.1 Auditoría por Pedido,card_b95415e0abff4b,card_b95415e0abff4b,tableEx,Pedido seleccionado,,Medidas,,AUD Pedido seleccionado,,,,,,,SI,305,82,230,96,,,
01.1 Auditoría por Pedido,card_bf5790c8c1194f,card_bf5790c8c1194f,tableEx,Hito más crítico,,Medidas,,AUD Hito crítico,,,,,,,SI,805,82,340,96,,,
01.1 Auditoría por Pedido,card_e506604c21704c,card_e506604c21704c,tableEx,Hitos fuera de KPI,,Medidas,,AUD Hitos fuera KPI,,,,,,,SI,1365,82,210,96,,,
01.1 Auditoría por Pedido,chart_fc031821591949,chart_fc031821591949,clusteredBarChart,Detalle de subprocesos · cambie la medida con el selector izquierdo,,,,,,,,,,'cb613066ebaf4e749a13',SI,305,195,790,280,,,
01.1 Auditoría por Pedido,footer_actualizacion,footer_actualizacion,cardVisual,,,,,,,,,,,,SI,32,48,940,16,,,
01.1 Auditoría por Pedido,header_f7d683129fa84d,header_f7d683129fa84d,shape,,,,,,,,,,,,SI,0,0,1600,66,,,
