CLIENTE,VENDEDOR,FLUJO,MES_1,FUERA_SLA_MES_1,MES_2,FUERA_SLA_MES_2,MES_3,FUERA_SLA_MES_3,MESES_FUERA_SLA,CLASIFICACION_RECURRENCIA,PEDIDOS_TOTAL,PEDIDOS_FUERA_SLA,PORCENTAJE_FUERA_SLA,PROMEDIO_DH_FUERA_SLA,P90_DH_FUERA_SLA
430904,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
371039,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
460257,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,28,0,0.0,,
411442,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
371062,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,4,0,0.0,,
371040,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
411460,V612,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,5,1,20.0,5.0,5
440172,V615,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,6,1,16.67,6.0,6
440083,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,8,0,0.0,,
981528,V612,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,7,2,28.57,6.0,6
981546,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
970340,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
445124,V610,FES,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,5,1,20.0,8.0,8
371038,V612,NORMAL,2026-05,NO,2026-06,NO,2026-07,SI,1,Puntual 1M,34,1,2.94,5.0,5
430160,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
430435,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
410702,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
481023,V650,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,5,3,60.0,5.67,5
400567,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
411140,V614,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,4,1,25.0,5.0,5
430676,V615,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,5,2,40.0,7.5,7
455058,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
410919,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
440549,V650,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,3,1,33.33,9.0,9
400544,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
455222,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
400572,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
420771,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
430946,V615,FES,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,3,1,33.33,5.0,5
410706,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
496024,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
430853,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
370104,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,4,0,0.0,,
411503,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
430852,V650,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,2,1,50.0,5.0,5
410528,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
410622,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,5,0,0.0,,
411190,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
430633,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,5,0,0.0,,
410220,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
411472,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
420466,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
981533,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
411167,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
420644,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
410455,V615;V650,FES;NORMAL,2026-05,SI,2026-06,SI,2026-07,SI,3,Recurrente 3M,8,3,37.5,5.0,5
430074,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
460237,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
460051,V650,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,5,1,20.0,20.0,20
411067,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
970007,V906,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,13,1,7.69,13.0,13
411294,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
460004,V615,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,3,1,33.33,5.0,5
411367,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
430436,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
970336,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
410563,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
430526,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
400692,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
430472,V615,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,2,1,50.0,6.0,6
411484,V612,NORMAL,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,3,1,33.33,13.0,13
360002,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
410169,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
430717,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
400319,V615,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,3,1,33.33,5.0,5
420234,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,6,0,0.0,,
420571,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
420064,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
400666,V615,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,2,1,50.0,10.0,10
440394,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
455025,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
400495,V615,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,4,1,25.0,6.0,6
430943,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
370103,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
400442,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,8,0,0.0,,
440425,V610,NORMAL,2026-05,SI,2026-06,NO,2026-07,SI,2,Recurrente 2M,4,2,50.0,8.0,7
455018,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,7,0,0.0,,
440360,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
430578,V612,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,7,1,14.29,18.0,18
430881,V612,NORMAL,2026-05,SI,2026-06,SI,2026-07,NO,2,Recurrente 2M,4,2,50.0,9.0,7
411177,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
411410,V612,NORMAL,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,7,1,14.29,7.0,7
440409,V585,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,3,1,33.33,8.0,8
463000,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
420192,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
400424,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,4,0,0.0,,
371002,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
981560,V612,FES;NORMAL,2026-05,SI,2026-06,SI,2026-07,NO,2,Recurrente 2M,12,4,33.33,7.25,8
360019,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
400479,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
981625,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
420450,V585,FES,2026-05,NO,2026-06,NO,2026-07,SI,1,Puntual 1M,13,1,7.69,5.0,5
400477,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
371001,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
371044,V614,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,4,1,25.0,7.0,7
445057,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
411469,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
360018,V614,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,2,1,50.0,5.0,5
430446,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
400456,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
411318,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
495109,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
400364,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
455352,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
460137,V650,NORMAL,2026-05,NO,2026-06,NO,2026-07,SI,1,Puntual 1M,3,2,66.67,6.0,6
430493,V615,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,3,1,33.33,5.0,5
410775,V614,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,2,1,50.0,11.0,11
411179,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
420263,V615,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,5,1,20.0,7.0,7
430743,V615;V650,NORMAL,2026-05,SI,2026-06,NO,2026-07,SI,2,Recurrente 2M,3,2,66.67,5.0,5
981617,V612,NORMAL,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,2,1,50.0,5.0,5
400560,V612,FES;NORMAL,2026-05,SI,2026-06,SI,2026-07,SI,3,Recurrente 3M,14,4,28.57,6.5,7
420090,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
460213,V650,NORMAL,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,4,3,75.0,10.33,10
420773,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
420415,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
420421,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,8,0,0.0,,
420116,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
400471,V615,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,2,1,50.0,7.0,7
400553,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
410054,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
420599,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
430849,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
430896,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
400025,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
400566,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
456023,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
440019,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
420630,V615,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,2,1,50.0,13.0,13
370068,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
411483,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
420490,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
400606,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
370064,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
430893,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
400457,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
981476,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
550192,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
150208,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
950044,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
981567,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,12,0,0.0,,
750034,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,7,0,0.0,,
570022,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
981611,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,4,0,0.0,,
150041,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,4,0,0.0,,
150234,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,8,0,0.0,,
150148,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
150301,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,8,0,0.0,,
900009,V800,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,7,1,14.29,6.0,6
465021,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
130034,V817,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,5,1,20.0,9.0,9
350013,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
600095,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
757011,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
981608,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
650464,V612,FES,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,7,1,14.29,6.0,6
570078,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
900199,V800,NORMAL,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,3,1,33.33,9.0,9
750015,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,4,0,0.0,,
371031,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,5,0,0.0,,
180077,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
