MEDIDA,TABLA,EXPRESION_DAX,USA_SLA_FIJO_5,USA_SLA_ZONAL,USA_TRACKING_TRUE,USA_PEDIDO_CERRADO,USA_FECHA_CIERRE_CORRECTA,DEPENDENCIAS,RESULTADO,OBSERVACION
'UI Indicador ejecutivo SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'AUD Semáforo SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'AUD Semáforo general SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'TR Contexto ruta' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'TR Días ruta DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'TR SLA ruta DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'TR NS ruta %' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'TR Proyección entrega' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'TR Ruta camión SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'TR NS ruta SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Hito seleccionado' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Resumen hito' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Días hito' = MAX(Fact_Hitos_Operacionales[DIAS_HABILES]),Medidas,,NO,NO,NO,NO,NO,,OK,
'HT SLA hito' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Exceso hito' = MAX(Fact_Hitos_Operacionales[EXCESO_DH]),Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Días hito Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'HT SLA Top 10' = IF(NOT ISBLANK([HT Días hito Top 10]), [HT SLA hito])",Medidas,,NO,NO,NO,NO,NO,,OK,
"'HT Exceso Top 10' = IF(NOT ISBLANK([HT Días hito Top 10]), [HT Exceso hito])",Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Tipo pedido Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Cliente Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Vendedor Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Creación Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Inicio hito Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Fin hito Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Primera factura Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Última factura Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Despacho Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Brecha facturas Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Validación saldo Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'HT Estado hito Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'U Pedidos universo' = DISTINCTCOUNT(Fact_Tracking[PED_NUMERO_PEDIDO]),Medidas,,NO,NO,NO,NO,NO,,OK,
"'U Pedidos cerrados' = CALCULATE([U Pedidos universo], Fact_Tracking[ES_CERRADO]=TRUE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'U Pedidos abiertos' = CALCULATE([U Pedidos universo], Fact_Tracking[ES_CERRADO]=FALSE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'U Pendientes factura' = CALCULATE([U Pedidos universo], Fact_Tracking[PENDIENTE_FACTURA]=TRUE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'U Pendientes despacho' = CALCULATE([U Pedidos universo], Fact_Tracking[PENDIENTE_DESPACHO]=TRUE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'U Pedidos vencidos' = CALCULATE([U Pedidos universo], Fact_Tracking[ES_CERRADO]=FALSE(), Fact_Tracking[DIAS_RESTANTES_DH] < 0)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'U Valor abierto CLP' = CALCULATE(SUM(Fact_Tracking[PED_VALOR_NETO]), Fact_Tracking[ES_CERRADO]=FALSE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'U Valor en riesgo CLP' = CALCULATE(SUM(Fact_Tracking[PED_VALOR_NETO]), Fact_Tracking[ES_CERRADO]=FALSE(), Fact_Tracking[DIAS_RESTANTES_DH] <= 1)",Medidas,,NO,NO,NO,NO,NO,,OK,
'U NS comprometido interno' = 0.9,Medidas,,NO,NO,NO,NO,NO,,OK,
"'U Pedidos cerrados en SLA' = CALCULATE([U Pedidos universo], Fact_Tracking[ES_CERRADO]=TRUE(), Fact_Tracking[CUMPLE_SLA_INTERNO]=TRUE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'U NS observado interno' = DIVIDE([U Pedidos cerrados en SLA],[U Pedidos cerrados])",Medidas,,NO,NO,NO,NO,NO,,OK,
'U Brecha NS' = [U NS observado interno] - [U NS comprometido interno],Medidas,,NO,NO,NO,NO,NO,,OK,
'U Promedio interno DH' = AVERAGE(Fact_Tracking[DIAS_INTERNOS_DH]),Medidas,,NO,NO,NO,NO,NO,,OK,
"'U P90 interno DH' = PERCENTILEX.INC(FILTER(Fact_Tracking, Fact_Tracking[ES_CERRADO]=TRUE() && NOT ISBLANK(Fact_Tracking[DIAS_INTERNOS_DH])), Fact_Tracking[DIAS_INTERNOS_DH], 0.9)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'U P90 estado' = VAR ExcesoP90 = PERCENTILEX.INC(FILTER(Fact_Tracking, Fact_Tracking[ES_CERRADO]=TRUE() && NOT ISBLANK(Fact_Tracking[EXCESO_SLA_INTERNO_DH])), Fact_Tracking[EXCESO_SLA_INTERNO_DH], 0.9) RETURN IF(ISBLANK(ExcesoP90),""SIN DATO"",IF(ExcesoP90<=0,""P90 DENTRO DEL SLA ZONAL"",""P90 SUPERA SLA ZONAL EN ""&FORMAT(ExcesoP90,""0.0"")&"" DH""))",Medidas,,NO,NO,NO,NO,NO,,OK,
'U Fecha mínima creación' = MIN(Fact_Tracking[PED_FECHA_HORA]),Medidas,,NO,NO,NO,NO,NO,,OK,
'U Fecha máxima creación' = MAX(Fact_Tracking[PED_FECHA_HORA]),Medidas,,NO,NO,NO,NO,NO,,OK,
'U Fecha mínima factura' = MIN(Fact_Tracking[FECHA_PRIMERA_FACTURA]),Medidas,,NO,NO,NO,NO,NO,,OK,
'U Fecha máxima factura' = MAX(Fact_Tracking[FECHA_ULTIMA_FACTURA]),Medidas,,NO,NO,NO,NO,NO,,OK,
'U Fecha mínima despacho' = MIN(Fact_Tracking[FECHA_DESPACHO]),Medidas,,NO,NO,NO,NO,NO,,OK,
'U Fecha máxima despacho' = MAX(Fact_Tracking[FECHA_DESPACHO]),Medidas,,NO,NO,NO,NO,NO,,OK,
"'U Fecha actualización' = CALCULATE(MAX(Fact_Tracking[FECHA_ACTUALIZACION]), REMOVEFILTERS())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'U Último pedido creado' = CALCULATE(MAX(Fact_Tracking[PED_FECHA_HORA]), REMOVEFILTERS())",Medidas,,NO,NO,NO,NO,NO,,OK,
'U Estado datos' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'U Periodo completo' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'U Pedidos hito' = DISTINCTCOUNT(Fact_Hitos_Operacionales[PED_NUMERO_PEDIDO]),Medidas,,NO,NO,NO,NO,NO,,OK,
'U Promedio hito DH' = AVERAGE(Fact_Hitos_Operacionales[DIAS_TRANSCURRIDOS]),Medidas,,NO,NO,NO,NO,NO,,OK,
"'U NS hito actual' = DIVIDE(CALCULATE([U Pedidos hito], Fact_Hitos_Operacionales[CUMPLE_ACTUAL]=TRUE()), CALCULATE([U Pedidos hito], NOT ISBLANK(Fact_Hitos_Operacionales[CUMPLE_ACTUAL])))",Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Pedidos contexto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Pedidos en SLA contexto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Pedidos fuera SLA contexto' = [RE Pedidos contexto] - [RE Pedidos en SLA contexto],Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE NS contexto' = DIVIDE([RE Pedidos en SLA contexto], [RE Pedidos contexto])",Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Valor contexto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Valor en SLA contexto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Valor fuera SLA contexto' = [RE Valor contexto] - [RE Valor en SLA contexto],Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Promedio contexto DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE P90 contexto DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Participación flujo %' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Participación rango %' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE NS zona %' = IF(ISINSCOPE(Dim_Rango_Entrega[Rango]), BLANK(), [RE NS contexto])",Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Estado zona SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Pedidos matriz' = [RE Pedidos contexto],Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Código nivel matriz' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE SLA nivel DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Pedidos hito con dato' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE Cobertura hito %' = DIVIDE([RE Pedidos hito con dato], [RE Pedidos matriz])",Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Pedidos hito cumplen' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE NS hito %' = DIVIDE([RE Pedidos hito cumplen], [RE Pedidos matriz])",Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Promedio hito DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE P90 hito DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Periodo contexto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Subtítulo pedidos' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Subtítulo valor' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Subtítulo NS' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE Color NS' = SWITCH(TRUE(), ISBLANK([RE NS contexto]), ""#84807D"", [RE NS contexto] >= 0.9, ""#2E8B57"", [RE NS contexto] >= 0.8, ""#D5A000"", ""#D3392C"")",Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE Promesa cliente' = ""Santiago: 4 DH internos + 1 última milla = 5 DH"" & UNICHAR(10) & ""Regiones: 5 DH internos + 2 última milla = 7 DH""",Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Lectura ejecutiva' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE TT Días Top 10' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE TT Cliente' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE TT Vendedor' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE TT Estado SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE TT Creación' = IF(NOT ISBLANK([RE TT Días Top 10]), MAX(Fact_Tracking[PED_FECHA_HORA]))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE TT Factura' = IF(NOT ISBLANK([RE TT Días Top 10]), MAX(Fact_Tracking[FECHA_PRIMERA_FACTURA]))",Medidas,,NO,NO,NO,NO,NO,,OK,
