MEDIDA,TABLA,EXPRESION_DAX,USA_SLA_FIJO_5,USA_SLA_ZONAL,USA_TRACKING_TRUE,USA_PEDIDO_CERRADO,USA_FECHA_CIERRE_CORRECTA,DEPENDENCIAS,RESULTADO,OBSERVACION
"'OP Pedidos Hito Real' = CALCULATE(DISTINCTCOUNT(Fact_Hitos_Operacionales[PED_NUMERO_PEDIDO]), TREATAS(VALUES(Dim_Vista_Ejecutiva[METRICA_CODIGO]), Fact_Hitos_Operacionales[METRICA_CODIGO]))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'OP % Hito Real' = DIVIDE([OP Pedidos Hito Real], [Pedidos])",Medidas,,NO,NO,NO,NO,NO,,OK,
'FA Pedidos' = [RE Pedidos contexto],Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA FES' = CALCULATE([RE Pedidos contexto], KEEPFILTERS(Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Normal' = CALCULATE([RE Pedidos contexto], KEEPFILTERS(Fact_Tracking[CLASIFICACION] = ""NORMAL""))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA % FES' = DIVIDE([FA FES], [FA Pedidos])",Medidas,,NO,NO,NO,NO,NO,,OK,
'FA Fuera SLA' = [RE Pedidos fuera SLA contexto],Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA FES Fuera SLA' = CALCULATE([RE Pedidos fuera SLA contexto], KEEPFILTERS(Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA FES Fin Mes' = CALCULATE([RE Pedidos contexto], KEEPFILTERS(Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}), KEEPFILTERS(Dim_Fecha[Es_Ultimos_7_DH] = TRUE()))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Cliente FES' = VAR Codigo = SELECTEDVALUE(Fact_Tracking[PED_CODIGO_CLIENTE]) VAR Nombre = LOOKUPVALUE(Dim_Cliente[CLIENTE_NOMBRE], Dim_Cliente[CLIENTE_CODIGO], Codigo) RETURN IF(NOT ISBLANK([FA FES]), COALESCE(Nombre, Codigo, ""Sin cliente""))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Meses FES Cliente' = CALCULATE(DISTINCTCOUNT(Fact_Pedidos_Auditoria[MES_CREACION]), Fact_Pedidos_Auditoria[ES_FES] = TRUE, TREATAS(VALUES(Fact_Tracking[PED_NUMERO_PEDIDO]), Fact_Pedidos_Auditoria[PED_NUMERO_PEDIDO]))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Pedidos Fuera SLA x Cliente' = CALCULATE(COUNTROWS(Fact_Tracking), Fact_Tracking[ES_CERRADO] = TRUE, Fact_Tracking[CUMPLE_SLA_INTERNO] = FALSE())",Medidas,,NO,NO,NO,NO,NO,,OK,
'FA DH Promedio' = [RE Promedio contexto DH],Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Vendedor' = VAR Codigo = SELECTEDVALUE(Fact_Tracking[PED_RESPONSABLE]) RETURN IF(NOT ISBLANK([FA Pedidos]), COALESCE(Codigo, ""Sin vendedor""))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA % Fuera SLA x Vendedor' = DIVIDE([FA Fuera SLA], [FA Pedidos])",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA % FES Fin Mes' = DIVIDE([FA FES Fin Mes], [FA FES])",Medidas,,NO,NO,NO,NO,NO,,OK,
'FA Líneas' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'FA Unidades' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Líneas FES' = CALCULATE( [FA Líneas], KEEPFILTERS(Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}) )",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Unidades FES' = CALCULATE( [FA Unidades], KEEPFILTERS(Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}) )",Medidas,,NO,NO,NO,NO,NO,,OK,
'FA DH Promedio FES' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'FA Líneas Fuera SLA' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'FA Unidades Fuera SLA' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'FA DH Promedio Normal' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Arrastre Mes Siguiente' = CALCULATE( [RE Pedidos contexto], KEEPFILTERS(Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}), KEEPFILTERS( FILTER( Fact_Tracking, NOT ISBLANK(Fact_Tracking[PED_FECHA]) && NOT ISBLANK(Fact_Tracking[FECHA_CIERRE]) && EOMONTH(Fact_Tracking[FECHA_CIERRE], 0) > EOMONTH(Fact_Tracking[PED_FECHA], 0) ) ) )",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA % Fuera SLA' = DIVIDE([FA Fuera SLA], [FA Pedidos])",Medidas,,NO,NO,NO,NO,NO,,OK,
'FA Pedidos con Volumen' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Cobertura Volumen %' = DIVIDE([FA Pedidos con Volumen], [FA Pedidos])",Medidas,,NO,NO,NO,NO,NO,,OK,
'FA Pedidos sin Volumen' = [FA Pedidos] - [FA Pedidos con Volumen],Medidas,,NO,NO,NO,NO,NO,,OK,
"'U Pendientes manifiesto FES' = CALCULATE([U Pedidos universo], Fact_Tracking[PENDIENTE_MANIFIESTO_FES]=TRUE())",Medidas,,NO,NO,NO,NO,NO,,OK,
'FA Meses Fuera SLA Cliente' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Recurrencia Cliente' = SWITCH(TRUE(), [FA Meses Fuera SLA Cliente] >= 3, ""Recurrente 3M"", [FA Meses Fuera SLA Cliente] = 2, ""Recurrente 2M"", [FA Meses Fuera SLA Cliente] = 1, ""Puntual 1M"", ""Sin incumplimiento"")",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Clientes Recurrentes 2M+' = COUNTROWS(FILTER(VALUES(Dim_Cliente[CLIENTE_CODIGO]), CALCULATE([FA Meses Fuera SLA Cliente]) >= 2))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Clientes Recurrentes 3M' = COUNTROWS(FILTER(VALUES(Dim_Cliente[CLIENTE_CODIGO]), CALCULATE([FA Meses Fuera SLA Cliente]) >= 3))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Días Factura Salida Promedio' = VAR FlujoSel = SELECTEDVALUE(Dim_Vista_Ejecutiva[Flujo]) VAR ZonaSel = SELECTEDVALUE(Dim_Rango_Entrega[Zona]) VAR BasePost = FILTER(Fact_Tracking, Fact_Tracking[ES_CERRADO] = TRUE() && NOT ISBLANK(Fact_Tracking[DIAS_POSTFACTURA_DH]) && (ISBLANK(FlujoSel) || (CONTAINSSTRING(FlujoSel, ""Flujo Normal"") && Fact_Tracking[CLASIFICACION] = ""NORMAL"") || (CONTAINSSTRING(FlujoSel, ""FES"") && Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}) || (CONTAINSSTRING(FlujoSel, ""Saldos"") && Fact_Tracking[CLASIFICACION] = ""SALDO"")) && (ISBLANK(ZonaSel) || Fact_Tracking[ZONA] = ZonaSel)) VAR Criticos15 = FILTER(BasePost, Fact_Tracking[DIAS_POSTFACTURA_DH] > 15) RETURN IF(COUNTROWS(Criticos15)=0, BLANK(), AVERAGEX(Criticos15, Fact_Tracking[DIAS_POSTFACTURA_DH]))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA P90 Días Factura Salida' = VAR FlujoSel = SELECTEDVALUE(Dim_Vista_Ejecutiva[Flujo]) VAR ZonaSel = SELECTEDVALUE(Dim_Rango_Entrega[Zona]) VAR BasePost = FILTER(Fact_Tracking, Fact_Tracking[ES_CERRADO] = TRUE() && NOT ISBLANK(Fact_Tracking[DIAS_POSTFACTURA_DH]) && (ISBLANK(FlujoSel) || (CONTAINSSTRING(FlujoSel, ""Flujo Normal"") && Fact_Tracking[CLASIFICACION] = ""NORMAL"") || (CONTAINSSTRING(FlujoSel, ""FES"") && Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}) || (CONTAINSSTRING(FlujoSel, ""Saldos"") && Fact_Tracking[CLASIFICACION] = ""SALDO"")) && (ISBLANK(ZonaSel) || Fact_Tracking[ZONA] = ZonaSel)) VAR Criticos15 = FILTER(BasePost, Fact_Tracking[DIAS_POSTFACTURA_DH] > 15) RETURN IF(COUNTROWS(Criticos15)=0, BLANK(), PERCENTILEX.INC(Criticos15, Fact_Tracking[DIAS_POSTFACTURA_DH], 0.9))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Pedidos Facturados >15d' = VAR FlujoSel = SELECTEDVALUE(Dim_Vista_Ejecutiva[Flujo]) VAR ZonaSel = SELECTEDVALUE(Dim_Rango_Entrega[Zona]) VAR BasePost = FILTER(Fact_Tracking, Fact_Tracking[ES_CERRADO] = TRUE() && NOT ISBLANK(Fact_Tracking[DIAS_POSTFACTURA_DH]) && (ISBLANK(FlujoSel) || (CONTAINSSTRING(FlujoSel, ""Flujo Normal"") && Fact_Tracking[CLASIFICACION] = ""NORMAL"") || (CONTAINSSTRING(FlujoSel, ""FES"") && Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}) || (CONTAINSSTRING(FlujoSel, ""Saldos"") && Fact_Tracking[CLASIFICACION] = ""SALDO"")) && (ISBLANK(ZonaSel) || Fact_Tracking[ZONA] = ZonaSel)) VAR Criticos15 = FILTER(BasePost, Fact_Tracking[DIAS_POSTFACTURA_DH] > 15) VAR Resultado = COUNTROWS(Criticos15) RETURN IF(Resultado=0, BLANK(), Resultado)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Pedidos Facturados >20d' = VAR FlujoSel = SELECTEDVALUE(Dim_Vista_Ejecutiva[Flujo]) VAR ZonaSel = SELECTEDVALUE(Dim_Rango_Entrega[Zona]) VAR BasePost = FILTER(Fact_Tracking, Fact_Tracking[ES_CERRADO] = TRUE() && NOT ISBLANK(Fact_Tracking[DIAS_POSTFACTURA_DH]) && (ISBLANK(FlujoSel) || (CONTAINSSTRING(FlujoSel, ""Flujo Normal"") && Fact_Tracking[CLASIFICACION] = ""NORMAL"") || (CONTAINSSTRING(FlujoSel, ""FES"") && Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}) || (CONTAINSSTRING(FlujoSel, ""Saldos"") && Fact_Tracking[CLASIFICACION] = ""SALDO"")) && (ISBLANK(ZonaSel) || Fact_Tracking[ZONA] = ZonaSel)) VAR Criticos20 = FILTER(BasePost, Fact_Tracking[DIAS_POSTFACTURA_DH] > 20) VAR Resultado = COUNTROWS(Criticos20) RETURN IF(Resultado=0, BLANK(), Resultado)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Valor Retenido >15d' = VAR FlujoSel = SELECTEDVALUE(Dim_Vista_Ejecutiva[Flujo]) VAR ZonaSel = SELECTEDVALUE(Dim_Rango_Entrega[Zona]) VAR BasePost = FILTER(Fact_Tracking, Fact_Tracking[ES_CERRADO] = TRUE() && NOT ISBLANK(Fact_Tracking[DIAS_POSTFACTURA_DH]) && (ISBLANK(FlujoSel) || (CONTAINSSTRING(FlujoSel, ""Flujo Normal"") && Fact_Tracking[CLASIFICACION] = ""NORMAL"") || (CONTAINSSTRING(FlujoSel, ""FES"") && Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}) || (CONTAINSSTRING(FlujoSel, ""Saldos"") && Fact_Tracking[CLASIFICACION] = ""SALDO"")) && (ISBLANK(ZonaSel) || Fact_Tracking[ZONA] = ZonaSel)) VAR Criticos15 = FILTER(BasePost, Fact_Tracking[DIAS_POSTFACTURA_DH] > 15) RETURN IF(COUNTROWS(Criticos15)=0, BLANK(), SUMX(Criticos15, Fact_Tracking[PED_VALOR_NETO]))",Medidas,,NO,NO,NO,NO,NO,,OK,
'FA NS %' = [RE NS contexto],Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Pedidos Inicio Mes' = CALCULATE([FA Pedidos], KEEPFILTERS(FILTER(Dim_Fecha, Dim_Fecha[Dia_Mes] <= 7)))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA DH Promedio Fuera SLA' = CALCULATE([RE Promedio contexto DH], KEEPFILTERS(Fact_Tracking[CUMPLE_SLA_INTERNO] = FALSE()))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Meses Fuera SLA Cliente Visible' = IF([FA Meses Fuera SLA Cliente] >= 2, [FA Meses Fuera SLA Cliente])",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Recurrencia Cliente Visible' = IF([FA Meses Fuera SLA Cliente] >= 2, [FA Recurrencia Cliente])",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Pedidos Fuera SLA Cliente Visible' = IF([FA Meses Fuera SLA Cliente] >= 2, [FA Fuera SLA])",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA % Fuera SLA Cliente Visible' = IF([FA Meses Fuera SLA Cliente] >= 2, [FA % Fuera SLA])",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA DH Fuera SLA Cliente Visible' = IF([FA Meses Fuera SLA Cliente] >= 2, [FA DH Promedio Fuera SLA])",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Pedidos Postfactura Abiertos >15d' = VAR FlujoSel = SELECTEDVALUE(Dim_Vista_Ejecutiva[Flujo]) VAR ZonaSel = SELECTEDVALUE(Dim_Rango_Entrega[Zona]) VAR BasePost = FILTER(Fact_Tracking, Fact_Tracking[POSTFACTURA_ABIERTO] = TRUE() && NOT ISBLANK(Fact_Tracking[DIAS_POSTFACTURA_DH]) && Fact_Tracking[DIAS_POSTFACTURA_DH] > 15 && (ISBLANK(FlujoSel) || (CONTAINSSTRING(FlujoSel, ""Flujo Normal"") && Fact_Tracking[CLASIFICACION] = ""NORMAL"") || (CONTAINSSTRING(FlujoSel, ""FES"") && Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}) || (CONTAINSSTRING(FlujoSel, ""Saldos"") && Fact_Tracking[CLASIFICACION] = ""SALDO"")) && (ISBLANK(ZonaSel) || Fact_Tracking[ZONA] = ZonaSel)) VAR Resultado = COUNTROWS(BasePost) RETURN IF(Resultado=0, BLANK(), Resultado)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Clientes Recurrentes 3M Visible' = VAR Resultado = [FA Clientes Recurrentes 3M] RETURN IF(Resultado > 0, Resultado)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Clientes Recurrentes 2M+ Visible' = VAR Resultado = [FA Clientes Recurrentes 2M+] RETURN IF(Resultado > 0, Resultado)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Pedidos Fuera SLA Vendedor Recurrente' = VAR ClientesRec = FILTER(VALUES(Dim_Cliente[CLIENTE_CODIGO]), CALCULATE([FA Meses Fuera SLA Cliente]) >= 2) VAR Resultado = CALCULATE([FA Fuera SLA], KEEPFILTERS(ClientesRec)) RETURN IF(COUNTROWS(ClientesRec)>0 && Resultado>0, Resultado)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA % Fuera SLA Vendedor Recurrente' = VAR ClientesRec = FILTER(VALUES(Dim_Cliente[CLIENTE_CODIGO]), CALCULATE([FA Meses Fuera SLA Cliente]) >= 2) VAR Fuera = CALCULATE([FA Fuera SLA], KEEPFILTERS(ClientesRec)) VAR Total = CALCULATE([FA Pedidos], KEEPFILTERS(ClientesRec)) RETURN IF(COUNTROWS(ClientesRec)>0, DIVIDE(Fuera, Total))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA DH Fuera SLA Vendedor Recurrente' = VAR ClientesRec = FILTER(VALUES(Dim_Cliente[CLIENTE_CODIGO]), CALCULATE([FA Meses Fuera SLA Cliente]) >= 2) VAR Resultado = CALCULATE([FA DH Promedio Fuera SLA], KEEPFILTERS(ClientesRec)) RETURN IF(COUNTROWS(ClientesRec)>0, Resultado)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Líneas Fuera SLA Vendedor Recurrente' = VAR ClientesRec = FILTER(VALUES(Dim_Cliente[CLIENTE_CODIGO]), CALCULATE([FA Meses Fuera SLA Cliente]) >= 2) VAR Resultado = CALCULATE([FA Líneas Fuera SLA], KEEPFILTERS(ClientesRec)) RETURN IF(COUNTROWS(ClientesRec)>0, Resultado)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Carga Pedidos Creados' = VAR FlujoSel = SELECTEDVALUE(Dim_Vista_Ejecutiva[Flujo]) VAR ZonaSel = SELECTEDVALUE(Dim_Rango_Entrega[Zona]) RETURN CALCULATE(DISTINCTCOUNT(Fact_Tracking[PED_NUMERO_PEDIDO]), KEEPFILTERS(FILTER(Fact_Tracking, Fact_Tracking[ES_CERRADO] = TRUE() && NOT ISBLANK(Fact_Tracking[DIAS_INTERNOS_DH]) && (ISBLANK(FlujoSel) || (CONTAINSSTRING(FlujoSel, ""Flujo Normal"") && Fact_Tracking[CLASIFICACION] = ""NORMAL"") || (CONTAINSSTRING(FlujoSel, ""FES"") && Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}) || (CONTAINSSTRING(FlujoSel, ""Saldos"") && Fact_Tracking[CLASIFICACION] = ""SALDO"")) && (ISBLANK(ZonaSel) || Fact_Tracking[ZONA] = ZonaSel))))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Carga Pedidos FES' = CALCULATE([FA Carga Pedidos Creados], KEEPFILTERS(Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Carga % FES' = DIVIDE([FA Carga Pedidos FES], [FA Carga Pedidos Creados])",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Carga % del Mes' = VAR TotalMes = CALCULATE([FA Carga Pedidos Creados], REMOVEFILTERS(Dim_Fecha[Momento_Mes])) RETURN DIVIDE([FA Carga Pedidos Creados], TotalMes)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Carga Líneas' = VAR FlujoSel = SELECTEDVALUE(Dim_Vista_Ejecutiva[Flujo]) VAR ZonaSel = SELECTEDVALUE(Dim_Rango_Entrega[Zona]) VAR PedidosCarga = CALCULATETABLE(VALUES(Fact_Tracking[PED_NUMERO_PEDIDO]), KEEPFILTERS(FILTER(Fact_Tracking, Fact_Tracking[ES_CERRADO] = TRUE() && NOT ISBLANK(Fact_Tracking[DIAS_INTERNOS_DH]) && (ISBLANK(FlujoSel) || (CONTAINSSTRING(FlujoSel, ""Flujo Normal"") && Fact_Tracking[CLASIFICACION] = ""NORMAL"") || (CONTAINSSTRING(FlujoSel, ""FES"") && Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}) || (CONTAINSSTRING(FlujoSel, ""Saldos"") && Fact_Tracking[CLASIFICACION] = ""SALDO"")) && (ISBLANK(ZonaSel) || Fact_Tracking[ZONA] = ZonaSel)))) RETURN CALCULATE(SUM(Lineas_y_unidades_por_pedidos[Lineas]), TREATAS(PedidosCarga, Lineas_y_unidades_por_pedidos[Pedido]))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Carga Unidades' = VAR FlujoSel = SELECTEDVALUE(Dim_Vista_Ejecutiva[Flujo]) VAR ZonaSel = SELECTEDVALUE(Dim_Rango_Entrega[Zona]) VAR PedidosCarga = CALCULATETABLE(VALUES(Fact_Tracking[PED_NUMERO_PEDIDO]), KEEPFILTERS(FILTER(Fact_Tracking, Fact_Tracking[ES_CERRADO] = TRUE() && NOT ISBLANK(Fact_Tracking[DIAS_INTERNOS_DH]) && (ISBLANK(FlujoSel) || (CONTAINSSTRING(FlujoSel, ""Flujo Normal"") && Fact_Tracking[CLASIFICACION] = ""NORMAL"") || (CONTAINSSTRING(FlujoSel, ""FES"") && Fact_Tracking[CLASIFICACION] IN {""FES"", ""FES + SALDO""}) || (CONTAINSSTRING(FlujoSel, ""Saldos"") && Fact_Tracking[CLASIFICACION] = ""SALDO"")) && (ISBLANK(ZonaSel) || Fact_Tracking[ZONA] = ZonaSel)))) RETURN CALCULATE(SUM(Lineas_y_unidades_por_pedidos[Suma_Unidades]), TREATAS(PedidosCarga, Lineas_y_unidades_por_pedidos[Pedido]))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Carga Líneas x Pedido' = DIVIDE([FA Carga Líneas], [FA Carga Pedidos Creados])",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Carga Unidades x Pedido' = DIVIDE([FA Carga Unidades], [FA Carga Pedidos Creados])",Medidas,,NO,NO,NO,NO,NO,,OK,
'FA Madurez Cohorte SLA %' = 1.0,Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Delta NS vs Resto' = VAR NSActual = [FA NS %] VAR NSResto = CALCULATE([FA NS %], REMOVEFILTERS(Dim_Fecha[Momento_Mes]), TREATAS({""Resto del mes""}, Dim_Fecha[Momento_Mes])) RETURN IF(ISBLANK(NSActual) || ISBLANK(NSResto), BLANK(), NSActual - NSResto)",Medidas,,NO,NO,NO,NO,NO,,OK,
"'FA Lectura Carga SLA' = VAR Momento = SELECTEDVALUE(Dim_Fecha[Momento_Mes]) VAR Carga = [FA Carga % del Mes] VAR PorcFES = [FA Carga % FES] VAR DeltaNS = [FA Delta NS vs Resto] RETURN SWITCH(TRUE(), ISBLANK([FA Carga Pedidos Creados]), BLANK(), Momento = ""Resto del mes"", ""BASE DE COMPARACIÓN"", Momento = ""Cierre · últimos 7 DH"" && DeltaNS <= -0.10 && PorcFES >= 0.35 && Carga >= 0.35, ""FES + ALTA CARGA COINCIDEN CON CAÍDA"", DeltaNS <= -0.10 && Carga >= 0.35, ""ALTA CARGA COINCIDE CON CAÍDA"", Momento = ""Inicio · primeros 7 DH"" && DeltaNS <= -0.08, ""ARRASTRE VISIBLE AL INICIO"", PorcFES >= 0.35 && DeltaNS > -0.05, ""FES ALTA SIN CAÍDA RELEVANTE"", ""SIN DETERIORO RELEVANTE"")",Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE SLA interno objetivo DH' = VAR Zona = SELECTEDVALUE(Dim_Rango_Entrega[Zona]) RETURN IF(Zona=""Santiago"",4,IF(Zona=""Regiones"",5,BLANK()))",Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE SLA cliente objetivo DH' = VAR Zona = SELECTEDVALUE(Dim_Rango_Entrega[Zona]) RETURN IF(Zona=""Santiago"",5,IF(Zona=""Regiones"",7,BLANK()))",Medidas,,NO,NO,NO,NO,NO,,OK,
