MES,MOMENTO_MES,PEDIDOS,PORCENTAJE_CARGA_MENSUAL,PEDIDOS_FES,PORCENTAJE_FES,LINEAS,UNIDADES,LINEAS_POR_PEDIDO,UNIDADES_POR_PEDIDO,PEDIDOS_CERRADOS,MADUREZ_COHORTE,NS,PROMEDIO_DH,P90_DH,VARIACION_NS_VS_RESTO,LECTURA
2026-04,MES_COMPLETO,59,,56,94.92,1330,277328.0,22.54,4700.47,59,,72.88,4.46,,,coincide con carga FES alta
2026-05,MES_COMPLETO,674,,135,20.03,7897,729950.0,11.72,1083.01,668,,81.59,3.46,,,carga FES normal
2026-06,MES_COMPLETO,730,,220,30.14,8887,970460.0,12.17,1329.4,702,,71.37,4.44,,,coincide con carga FES alta
2026-07,MES_COMPLETO,232,,40,17.24,4473,308882.0,19.28,1331.39,187,,89.3,3.09,,,carga FES normal
