tabla_hija,columna_master_referenciada,uso
Fact_Tracking,PRIMERA_FECHA_PEDIDO_POSTERIOR,SELECTCOLUMNS
Fact_Tracking,ULTIMA_FECHA_PEDIDO_POSTERIOR,SELECTCOLUMNS
Fact_Tracking,PRIMERA_FECHA_ENTREGA_POSTERIOR,SELECTCOLUMNS
Fact_Tracking,ULTIMA_FECHA_ENTREGA_POSTERIOR,SELECTCOLUMNS
Fact_Tracking,PRIMERA_FECHA_MANIFIESTO,SELECTCOLUMNS
Fact_Tracking,ULTIMA_FECHA_MANIFIESTO,SELECTCOLUMNS
Fact_Hitos_Operacionales,PED_NUMERO_PEDIDO,SELECTCOLUMNS
Fact_Hitos_Operacionales,PED_CODIGO_CLIENTE,SELECTCOLUMNS
Fact_Hitos_Operacionales,PED_RESPONSABLE,SELECTCOLUMNS
Fact_Hitos_Operacionales,PED_CIUDAD,SELECTCOLUMNS
Fact_Hitos_Operacionales,PED_REGION,SELECTCOLUMNS
Fact_Hitos_Operacionales,PED_CANAL_CODIGO,SELECTCOLUMNS
Fact_Hitos_Operacionales,PED_CONDICION_EXPEDICION_CODIGO,SELECTCOLUMNS
Fact_Hitos_Operacionales,PED_VALOR_NETO,SELECTCOLUMNS
Fact_Hitos_Operacionales,ES_FES,SELECTCOLUMNS
Fact_Hitos_Operacionales,ES_SALDO,SELECTCOLUMNS
Fact_Hitos_Operacionales,PED_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,PDA_P_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,COM_P_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,COM_U_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,CRD_P_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,ENT_P_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,ENT_U_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,PIC_P_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,PIC_U_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,PAC_P_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,PAC_U_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,FAC_P_FECHA_HORA_REAL,SELECTCOLUMNS
Fact_Hitos_Operacionales,FAC_U_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,TRP_P_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,TRP_U_FECHA_HORA,SELECTCOLUMNS
Fact_Hitos_Operacionales,PRIMERA_FECHA_PEDIDO_POSTERIOR,SELECTCOLUMNS
Fact_Hitos_Operacionales,ULTIMA_FECHA_PEDIDO_POSTERIOR,SELECTCOLUMNS
Fact_Hitos_Operacionales,PRIMERA_FECHA_ENTREGA_POSTERIOR,SELECTCOLUMNS
Fact_Hitos_Operacionales,ULTIMA_FECHA_ENTREGA_POSTERIOR,SELECTCOLUMNS
Fact_Hitos_Operacionales,PRIMERA_FECHA_MANIFIESTO,SELECTCOLUMNS
Fact_Hitos_Operacionales,ULTIMA_FECHA_MANIFIESTO,SELECTCOLUMNS
Fact_Hitos_Operacionales,AUD_ESTADO_GENERAL,SELECTCOLUMNS
Fact_Tiempos_Hitos,PED_NUMERO_PEDIDO,SELECTCOLUMNS
Fact_Tiempos_Hitos,PED_CODIGO_CLIENTE,SELECTCOLUMNS
Fact_Tiempos_Hitos,PED_RESPONSABLE,SELECTCOLUMNS
Fact_Tiempos_Hitos,PED_CONDICION_EXPEDICION_CODIGO,SELECTCOLUMNS
Fact_Tiempos_Hitos,PED_CANAL_CODIGO,SELECTCOLUMNS
Fact_Tiempos_Hitos,PED_VALOR_NETO,SELECTCOLUMNS
Fact_Tiempos_Hitos,SEGMENTO_ANALISIS,SELECTCOLUMNS
Fact_Tiempos_Hitos,ES_FES,SELECTCOLUMNS
Fact_Tiempos_Hitos,ES_SALDO,SELECTCOLUMNS
Fact_Tiempos_Hitos,INCLUIR_SLA_NORMAL,SELECTCOLUMNS
Fact_Tiempos_Hitos,PED_FECHA_HORA,SELECTCOLUMNS
Fact_Tiempos_Hitos,AUD_ESTADO_GENERAL,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_COMERCIAL_PDA_SAC,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_CREDITO_COBRANZAS,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_CREDITO_A_PRIMERA_ENTREGA,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_PRIMERA_ENTREGA_A_PRIMER_PICKING,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_PRIMER_PICKING_A_PRIMER_PACKING,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_PRIMER_PACKING_A_PRIMERA_FACTURA,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_PRIMER_PICKING_A_PRIMERA_FACTURA,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_OPERACION_INTERNA,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_DESPACHO,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_LEAD_NORMAL,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_DESPACHO_A_CEDIBLE,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_CREACION_A_CEDIBLE,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_FES_CREDITO_A_PRIMER_DESPACHO,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_FES_FACTURA_A_PRIMER_DESPACHO,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_FES_FACTURA_A_PRIMER_PEDIDO_POSTERIOR,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_FES_PRIMER_PEDIDO_A_PRIMERA_ENTREGA_POSTERIOR,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_FES_PRIMERA_ENTREGA_A_PRIMER_MANIFIESTO,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_FES_FACTURA_A_PRIMER_MANIFIESTO,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_FES_FACTURA_A_ULTIMO_MANIFIESTO,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_FES_BRECHA_PRIMER_ULTIMO_MANIFIESTO,SELECTCOLUMNS
