Segmentación territorial,Rango de tiempo interno,Pedidos,% zona,NS zona,Prom. DH,P90 DH,Estado
1. Santiago · interno 1–5 DH,0–2 DH,399,"50,1%",,"1,4 DH","2,0 DH","data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='88' height='20' viewBox='0 0 88 20'%3E%3Crect x='1' y='1' width='86' height='18' rx='9' fill='%232E8B57' opacity='.13'/%3E%3Ccircle cx='10' cy='10' r='3.5' fill='%232E8B57'/%3E%3Ctext x='18' y='13' font-family='Segoe%20UI' font-size='7.5' font-weight='700' fill='%232E8B57'%3EEN%20SLA%3C/text%3E%3C/svg%3E"
1. Santiago · interno 1–5 DH,3–5 DH,285,"35,8%",,"3,7 DH","5,0 DH","data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='88' height='20' viewBox='0 0 88 20'%3E%3Crect x='1' y='1' width='86' height='18' rx='9' fill='%232E8B57' opacity='.13'/%3E%3Ccircle cx='10' cy='10' r='3.5' fill='%232E8B57'/%3E%3Ctext x='18' y='13' font-family='Segoe%20UI' font-size='7.5' font-weight='700' fill='%232E8B57'%3EEN%20SLA%3C/text%3E%3C/svg%3E"
1. Santiago · interno 1–5 DH,Más de 5 DH,113,"14,2%",,"9,6 DH","13,8 DH","data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='88' height='20' viewBox='0 0 88 20'%3E%3Crect x='1' y='1' width='86' height='18' rx='9' fill='%23D3392C' opacity='.13'/%3E%3Ccircle cx='10' cy='10' r='3.5' fill='%23D3392C'/%3E%3Ctext x='18' y='13' font-family='Segoe%20UI' font-size='7.5' font-weight='700' fill='%23D3392C'%3EFUERA%20SLA%3C/text%3E%3C/svg%3E"
2. Regiones · interno 1–5 DH + 2 tránsito,0–2 DH,371,"36,2%",,"1,6 DH","2,0 DH","data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='88' height='20' viewBox='0 0 88 20'%3E%3Crect x='1' y='1' width='86' height='18' rx='9' fill='%232E8B57' opacity='.13'/%3E%3Ccircle cx='10' cy='10' r='3.5' fill='%232E8B57'/%3E%3Ctext x='18' y='13' font-family='Segoe%20UI' font-size='7.5' font-weight='700' fill='%232E8B57'%3EEN%20SLA%3C/text%3E%3C/svg%3E"
2. Regiones · interno 1–5 DH + 2 tránsito,3–5 DH,431,"42,0%",,"3,8 DH","5,0 DH","data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='88' height='20' viewBox='0 0 88 20'%3E%3Crect x='1' y='1' width='86' height='18' rx='9' fill='%232E8B57' opacity='.13'/%3E%3Ccircle cx='10' cy='10' r='3.5' fill='%232E8B57'/%3E%3Ctext x='18' y='13' font-family='Segoe%20UI' font-size='7.5' font-weight='700' fill='%232E8B57'%3EEN%20SLA%3C/text%3E%3C/svg%3E"
2. Regiones · interno 1–5 DH + 2 tránsito,Más de 5 DH,224,"21,8%",,"9,5 DH","15,0 DH","data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='88' height='20' viewBox='0 0 88 20'%3E%3Crect x='1' y='1' width='86' height='18' rx='9' fill='%23D3392C' opacity='.13'/%3E%3Ccircle cx='10' cy='10' r='3.5' fill='%23D3392C'/%3E%3Ctext x='18' y='13' font-family='Segoe%20UI' font-size='7.5' font-weight='700' fill='%23D3392C'%3EFUERA%20SLA%3C/text%3E%3C/svg%3E"
