database_name	fecha_desde	fecha_hasta	server_now
DMF_VTA_PRD	2026-05-12	2026-08-12	2026-08-12 10:32:12.873000
---
CANAL	CAUSA_HORA	PEDIDOS
43	ZART_HORA_000000	121
43	ZART_HORA_VALIDA	1111
45	ZART_HORA_000000	33
45	ZART_HORA_VALIDA	268
---
CANAL	PEDIDOS_TOTAL	PEDIDOS_HORA_VALIDA	PEDIDOS_SIN_HORA_VALIDA	COBERTURA_HORA_PCT
43	1232	1111	121	90.18
45	301	268	33	89.04
---
CANAL	CAUSA_ZART	ESTADO_VBAK	PEDIDOS
43	ZART_HORA_000000	SIN_VBAK	1
43	ZART_HORA_000000	VBAK_RECUPERABLE	120
45	ZART_HORA_000000	VBAK_RECUPERABLE	33
---
PEDIDO	CANAL	ZART_FECHA_RAW	ZART_HORA_RAW	ZART_CAUSA	AUART	VBAK_FECHA_RAW	VBAK_HORA_RAW	VBAK_HORA_PARSED	VBAK_CAUSA
1168112	43	Jul 13 2026 12:09PM	120909	ZART_HORA_000000	ZMAY	13-07-2026	12:09:09	12:09:09	VBAK_HORA_VALIDA
1168121	43	Jul 13 2026  5:07PM	170722	ZART_HORA_000000	ZMAY	13-07-2026	17:07:22	17:07:22	VBAK_HORA_VALIDA
1168148	43	Jul 15 2026 11:09AM	110903	ZART_HORA_000000	ZMAY	15-07-2026	11:09:03	11:09:03	VBAK_HORA_VALIDA
1168180	43	Jul 20 2026  8:03PM	200309	ZART_HORA_000000	ZMAY	20-07-2026	20:03:09	20:03:09	VBAK_HORA_VALIDA
1168200	43	Jul 22 2026  2:01PM	140112	ZART_HORA_000000	ZMAY	22-07-2026	14:01:12	14:01:12	VBAK_HORA_VALIDA
1168251	43	Jul 27 2026  3:03PM	150314	ZART_HORA_000000	ZMAY	27-07-2026	15:03:14	15:03:14	VBAK_HORA_VALIDA
1168279	43	Jul 28 2026  8:01PM	200118	ZART_HORA_000000	ZMAY	28-07-2026	20:01:18	20:01:18	VBAK_HORA_VALIDA
1168305	43	Jul 30 2026  4:05PM	160530	ZART_HORA_000000	ZMAY	30-07-2026	16:05:30	16:05:30	VBAK_HORA_VALIDA
1168482	43	Ago  3 2026  9:10AM	091023	ZART_HORA_000000	ZMAY	03-08-2026	09:10:23	09:10:23	VBAK_HORA_VALIDA
1168525	43	Ago  3 2026 11:05PM	230524	ZART_HORA_000000	ZMAY	03-08-2026	23:05:24	23:05:24	VBAK_HORA_VALIDA
