source_type,source_object,target_type,target_object,dependency_kind,file,evidence
COLUMN,Resultado[AUC_TEST],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,AUC_TEST
COLUMN,Resultado[AUD_DUPLICADOS_ENTRADA],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,AUD_DUPLICADOS_ENTRADA
COLUMN,Resultado[AUD_ESTADO_GENERAL],TABLE,Fact_Hitos_Operacionales,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Hitos_Operacionales.tmdl,AUD_ESTADO_GENERAL
COLUMN,Resultado[AUD_ESTADO_GENERAL],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,AUD_ESTADO_GENERAL
COLUMN,Resultado[AUD_PRINCIPAL_INCONGRUENCIA],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,AUD_PRINCIPAL_INCONGRUENCIA
COLUMN,Resultado[AUD_TOTAL_CRITICAS],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,AUD_TOTAL_CRITICAS
COLUMN,Resultado[BANDA_DIAS_PREDICHOS],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,BANDA_DIAS_PREDICHOS
COLUMN,Resultado[BRIER_TEST],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,BRIER_TEST
COLUMN,Resultado[CLASIFICACION],TABLE,Dim_Pedido,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Dim_Pedido.tmdl,CLASIFICACION
COLUMN,Resultado[CLASIFICACION],TABLE,Fact_Tracking,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,CLASIFICACION
COLUMN,Resultado[CLASIFICACION],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,CLASIFICACION
COLUMN,Resultado[CLIENTE],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,CLIENTE
COLUMN,Resultado[DH_CREDITO],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DH_CREDITO
COLUMN,Resultado[DH_DESPACHO],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DH_DESPACHO
COLUMN,Resultado[DH_FACTURACION],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DH_FACTURACION
COLUMN,Resultado[DH_FASE_LENTA],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DH_FASE_LENTA
COLUMN,Resultado[DH_OPERACIONES],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DH_OPERACIONES
COLUMN,Resultado[DH_PICKING],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DH_PICKING
COLUMN,Resultado[DH_PREDICHO_BASE_ML],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DH_PREDICHO_BASE_ML
COLUMN,Resultado[DH_PREDICHO_ML],TABLE_OR_MEASURE_FILE,Medidas,DAX_OR_M_EXPLICIT,NS.SemanticModel\definition\tables\Medidas.tmdl,Resultado[DH_PREDICHO_ML]
COLUMN,Resultado[DH_PREDICHO_ML],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DH_PREDICHO_ML
COLUMN,Resultado[DH_TOTAL],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DH_TOTAL
COLUMN,Resultado[DIAS_ACTUALES_DH],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DIAS_ACTUALES_DH
COLUMN,Resultado[DIAS_EN_ESTADO_DH],TABLE,Fact_Tracking,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,DIAS_EN_ESTADO_DH
COLUMN,Resultado[DIAS_EN_ESTADO_DH],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DIAS_EN_ESTADO_DH
COLUMN,Resultado[DIAS_RESTANTES_PREDICHOS],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DIAS_RESTANTES_PREDICHOS
COLUMN,Resultado[DIA_MES],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,DIA_MES
COLUMN,Resultado[ESTADO_ACTUAL],TABLE,Dim_Pedido,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Dim_Pedido.tmdl,ESTADO_ACTUAL
COLUMN,Resultado[ESTADO_ACTUAL],TABLE,Fact_Tracking,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,ESTADO_ACTUAL
COLUMN,Resultado[ESTADO_ACTUAL],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,ESTADO_ACTUAL
COLUMN,Resultado[ESTADO_SLA],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,ESTADO_SLA
COLUMN,Resultado[ES_CALIDAD_VALIDA_ML],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,ES_CALIDAD_VALIDA_ML
COLUMN,Resultado[ES_CERRADO_TRACKING],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,ES_CERRADO_TRACKING
COLUMN,Resultado[ES_ENTRENAMIENTO_FINAL],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,ES_ENTRENAMIENTO_FINAL
COLUMN,Resultado[ES_FES],TABLE,Fact_Hitos_Operacionales,M_BRACKET+M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Hitos_Operacionales.tmdl,ES_FES
COLUMN,Resultado[ES_FES],TABLE,Fact_Tracking,M_BRACKET+M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,ES_FES
COLUMN,Resultado[ES_FES],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,ES_FES
COLUMN,Resultado[ES_FIN_MES],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,ES_FIN_MES
COLUMN,Resultado[ES_FLUJO_COMPLETO_ML],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,ES_FLUJO_COMPLETO_ML
COLUMN,Resultado[ES_PENDIENTE],TABLE_OR_MEASURE_FILE,Medidas,DAX_OR_M_EXPLICIT,NS.SemanticModel\definition\tables\Medidas.tmdl,Resultado[ES_PENDIENTE]
COLUMN,Resultado[ES_PENDIENTE],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,ES_PENDIENTE
COLUMN,Resultado[ES_SALDO],TABLE,Fact_Hitos_Operacionales,M_BRACKET+M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Hitos_Operacionales.tmdl,ES_SALDO
COLUMN,Resultado[ES_SALDO],TABLE,Fact_Tracking,M_BRACKET+M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,ES_SALDO
COLUMN,Resultado[ES_SALDO],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,ES_SALDO
COLUMN,Resultado[ES_VALIDACION_TEST],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,ES_VALIDACION_TEST
COLUMN,Resultado[FACTOR_DIAS_PRINCIPAL],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,FACTOR_DIAS_PRINCIPAL
COLUMN,Resultado[FACTOR_HISTORICO],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,FACTOR_HISTORICO
COLUMN,Resultado[FACTOR_PRINCIPAL],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,FACTOR_PRINCIPAL
COLUMN,Resultado[FASE_MAS_LENTA],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,FASE_MAS_LENTA
COLUMN,Resultado[FEATURE_TOP1],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,FEATURE_TOP1
COLUMN,Resultado[FEATURE_TOP2],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,FEATURE_TOP2
COLUMN,Resultado[FEATURE_TOP3],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,FEATURE_TOP3
COLUMN,Resultado[FECHA_ACTUALIZACION],TABLE,Fact_Tracking,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,FECHA_ACTUALIZACION
COLUMN,Resultado[FECHA_ACTUALIZACION],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,FECHA_ACTUALIZACION
COLUMN,Resultado[HITO_ACTUAL],TABLE,Dim_Pedido,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Dim_Pedido.tmdl,HITO_ACTUAL
COLUMN,Resultado[HITO_ACTUAL],TABLE,Fact_Tracking,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,HITO_ACTUAL
COLUMN,Resultado[HITO_ACTUAL],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,HITO_ACTUAL
COLUMN,Resultado[MAE_DIAS_TEST],TABLE_OR_MEASURE_FILE,Medidas,DAX_OR_M_EXPLICIT,NS.SemanticModel\definition\tables\Medidas.tmdl,Resultado[MAE_DIAS_TEST]
